frame_idx,is_warmup,decode_ms,yolo_ms,depth_ms,total_ms,num_detections,gpu_mem_alloc_mb,gpu_mem_reserved_mb
0,True,23.336,35.315,849.945,897.303,6,3874.7,12010.0
1,True,0.749,7.19,852.531,863.074,6,3875.6,12010.0
2,True,0.677,7.011,857.363,867.455,6,3874.7,12010.0
3,True,0.418,7.072,849.347,859.445,6,3874.7,12010.0
4,True,0.892,6.825,844.814,855.24,6,3874.7,12010.0
5,True,0.533,7.323,846.253,857.027,6,3874.7,12010.0
6,True,0.733,7.026,847.969,858.507,6,3874.7,12010.0
7,True,0.619,6.955,843.824,854.159,6,3875.1,12010.0
8,True,0.595,6.764,850.235,860.177,6,3874.7,12010.0
9,True,0.647,6.626,862.271,872.192,7,3874.7,12010.0
10,False,0.615,6.623,855.012,865.011,7,3874.7,12010.0
11,False,0.607,6.772,848.807,859.924,6,3875.6,12010.0
12,False,1.004,6.613,853.707,863.736,6,3874.7,12010.0
13,False,0.708,6.684,852.095,862.823,6,3874.7,12010.0
14,False,0.695,6.653,847.913,857.944,6,3874.7,12010.0
15,False,0.69,6.827,850.375,860.33,7,3874.7,12010.0
16,False,0.617,6.681,867.361,877.277,7,3875.6,12010.0
17,False,0.63,6.677,865.156,875.817,7,3874.7,12010.0
18,False,0.703,6.839,853.336,863.649,6,3874.7,12010.0
19,False,0.721,6.684,855.541,865.898,7,3874.7,12010.0
20,False,0.434,6.645,855.807,866.378,7,3874.7,12010.0
21,False,0.688,6.833,857.468,868.205,7,3874.7,12010.0
22,False,0.68,6.756,855.032,865.686,7,3875.1,12010.0
23,False,0.758,7.494,856.337,867.833,7,3874.7,12010.0
24,False,0.738,6.973,868.04,878.319,6,3874.7,12010.0
25,False,0.722,8.278,865.521,877.905,6,3874.7,12010.0
26,False,1.508,6.901,857.8,869.575,6,3875.6,12010.0
27,False,0.69,6.756,860.929,871.079,6,3874.7,12010.0
28,False,0.617,6.818,861.778,871.892,6,3874.7,12010.0
29,False,0.678,6.748,858.982,869.508,6,3874.7,12010.0
30,False,0.857,6.883,851.362,861.8,6,3874.7,12010.0
31,False,0.7,7.557,859.063,870.076,6,3875.6,12010.0
32,False,0.652,6.591,868.462,879.238,6,3874.7,12010.0
33,False,0.709,6.673,858.114,868.122,6,3874.7,12010.0
34,False,0.697,6.833,859.206,869.835,6,3874.7,12010.0
35,False,0.654,6.815,860.738,871.046,6,3874.7,12010.0
36,False,0.753,7.113,860.781,871.328,6,3874.7,12010.0
37,False,1.118,6.66,859.391,869.903,6,3875.1,12010.0
38,False,0.429,7.273,854.104,864.866,6,3874.7,12010.0
39,False,0.838,6.573,868.047,878.306,6,3874.7,12010.0
40,False,0.814,6.892,873.798,883.965,6,3874.7,12010.0
41,False,0.808,7.925,866.084,877.739,6,3875.6,12010.0
42,False,0.349,7.156,861.433,871.766,6,3874.7,12010.0
43,False,0.783,6.84,860.155,870.22,6,3874.7,12010.0
44,False,0.674,6.702,856.093,866.565,7,3874.7,12010.0
45,False,0.783,6.924,857.247,867.723,7,3874.7,12010.0
46,False,1.316,7.319,856.728,867.839,7,3875.6,12010.0
47,False,0.769,6.811,867.765,878.45,8,3874.7,12010.0
48,False,0.863,7.304,866.944,877.877,7,3874.7,12010.0
49,False,0.653,6.744,861.655,872.677,7,3874.7,12010.0
50,False,0.468,7.429,864.52,875.755,7,3874.7,12010.0
51,False,0.88,7.622,862.086,873.959,6,3874.7,12010.0
52,False,1.119,6.711,863.026,874.104,6,3875.1,12010.0
53,False,1.169,7.808,862.038,873.076,6,3874.7,12010.0
54,False,0.738,6.601,855.763,865.824,6,3874.7,12010.0
55,False,0.58,6.568,870.212,880.3,7,3874.7,12010.0
56,False,0.831,7.469,875.737,886.843,5,3875.6,12010.0
57,False,0.702,6.959,866.998,878.645,7,3874.7,12010.0
58,False,0.866,7.186,863.929,874.881,7,3874.7,12010.0
59,False,1.078,7.597,864.546,875.965,7,3874.7,12010.0
60,False,0.762,6.927,866.249,876.875,6,3874.7,12010.0
61,False,0.679,6.999,865.69,876.103,7,3875.6,12010.0
62,False,0.701,6.647,861.636,871.778,7,3874.7,12010.0
63,False,1.304,7.944,865.424,876.817,7,3874.7,12010.0
64,False,0.7,6.71,877.22,887.915,8,3874.7,12010.0
65,False,0.717,6.708,870.286,880.399,7,3874.7,12010.0
66,False,0.616,6.853,868.381,878.951,7,3874.7,12010.0
67,False,0.711,6.752,868.965,879.481,6,3875.1,12010.0
68,False,1.092,6.67,868.247,878.216,6,3874.7,12010.0
69,False,0.663,6.72,869.699,880.131,6,3874.7,12010.0
70,False,0.679,7.023,868.655,879.006,6,3874.7,12010.0
71,False,0.606,6.827,863.879,873.782,6,3875.6,12010.0
72,False,0.408,7.132,879.479,889.788,7,3874.7,12010.0
73,False,0.602,6.684,879.095,888.912,7,3874.7,12010.0
74,False,0.711,6.846,870.701,880.949,7,3874.7,12010.0
75,False,1.024,6.943,872.062,882.433,7,3874.7,12010.0
76,False,0.696,6.9,872.928,883.164,5,3875.6,12010.0
77,False,0.885,6.637,871.779,881.787,7,3874.7,12010.0
78,False,0.673,6.842,870.779,881.427,7,3874.7,12010.0
79,False,0.749,7.714,866.876,877.635,5,3874.7,12010.0
80,False,0.613,6.791,872.15,882.278,6,3874.7,12010.0
81,False,0.585,6.643,881.057,891.071,7,3874.7,12010.0
82,False,0.589,6.755,878.142,888.42,6,3875.1,12010.0
83,False,0.742,6.777,874.751,884.808,6,3874.7,12010.0
84,False,0.752,6.999,872.906,883.441,6,3874.7,12010.0
85,False,0.628,6.653,872.963,883.592,7,3874.7,12010.0
86,False,1.254,6.897,872.471,882.836,7,3875.6,12010.0
87,False,1.132,6.488,871.608,881.481,7,3874.7,12010.0
88,False,0.498,7.232,868.89,880.195,7,3874.7,12010.0
89,False,0.757,6.669,878.257,888.75,7,3874.7,12010.0
90,False,0.612,6.608,879.865,889.634,7,3874.7,12010.0
91,False,0.776,8.027,877.711,889.007,7,3875.6,12010.0
92,False,0.656,6.892,873.851,884.038,7,3874.7,12010.0
93,False,0.366,7.191,872.532,883.299,6,3874.7,12010.0
94,False,0.716,6.607,874.663,884.592,6,3874.7,12010.0
95,False,0.762,7.076,875.003,885.384,7,3874.7,12010.0
96,False,1.047,7.091,869.28,879.617,6,3874.7,12010.0
97,False,0.661,6.738,869.8,880.057,6,3875.1,12010.0
98,False,0.699,6.557,882.528,892.467,6,3874.7,12010.0
99,False,0.607,6.611,885.044,895.115,6,3874.7,12010.0
100,False,0.598,6.78,877.689,887.927,7,3874.7,12010.0
101,False,0.863,7.543,876.715,887.763,7,3875.6,12010.0
102,False,0.606,6.649,878.187,888.544,6,3874.7,12010.0
103,False,0.596,6.923,875.289,885.741,7,3874.7,12010.0
104,False,0.805,7.046,880.251,890.685,8,3874.7,12010.0
105,False,0.762,6.825,872.627,882.546,7,3874.7,12010.0
106,False,0.691,6.629,870.625,880.459,8,3875.6,12010.0
107,False,0.914,6.731,884.728,894.513,7,3874.7,12010.0
108,False,0.905,6.732,887.615,897.44,7,3874.7,12010.0
109,False,0.741,6.811,882.199,892.06,7,3874.7,12010.0
110,False,1.03,6.766,879.65,889.874,6,3874.7,12010.0
111,False,0.744,6.845,878.436,888.865,6,3874.7,12010.0
112,False,0.692,6.796,876.429,886.859,5,3875.1,12010.0
113,False,0.692,7.99,878.468,890.846,7,3874.7,12010.0
114,False,1.038,7.684,873.848,886.151,6,3874.7,12010.0
115,False,0.756,6.83,871.692,881.879,6,3874.7,12010.0
116,False,1.006,6.816,882.496,892.615,7,3875.6,12010.0
117,False,0.738,6.762,887.088,897.273,6,3874.7,12010.0
118,False,0.615,6.707,881.003,891.189,6,3874.7,12010.0
119,False,0.689,6.716,879.544,889.795,6,3874.7,12010.0
120,False,0.628,7.52,880.807,891.9,6,3874.7,12010.0
121,False,0.734,8.023,880.176,892.02,6,3875.6,12010.0
122,False,0.77,6.701,882.504,893.052,7,3874.7,12010.0
123,False,0.664,7.25,880.682,891.447,5,3874.7,12010.0
124,False,0.707,7.469,875.869,886.376,5,3874.7,12010.0
125,False,0.649,6.746,881.193,891.461,6,3874.7,12010.0
126,False,0.714,6.619,887.854,897.671,6,3874.7,12010.0
127,False,0.582,6.64,885.845,895.637,6,3875.1,12010.0
128,False,0.663,6.998,882.187,892.563,5,3874.7,12010.0
129,False,0.686,6.764,881.614,891.779,6,3874.7,12010.0
130,False,0.722,7.302,882.277,892.615,4,3874.7,12010.0
131,False,1.072,6.776,880.15,892.215,4,3875.6,12010.0
